SeqID;Isolate_Id;Isolate_Name;subtype;Location;lat;lon;Host;Collection_Date
>EPI_ISL_10576444|A/Anser_anser/Belgium/1809_0002/2022|A_/_H5N1;EPI_ISL_10576444;A/Anser_anser/Belgium/1809_0002/2022;A / H5N1;Europe / Belgium / Province de Liege / Ougrée;;;Greylag goose;2022-01-23
>EPI_ISL_10880515|A/European_Herring_Gull/_Sweden/SVA211221SZ0503/FB004873/M-2021|A_/_H5N1;EPI_ISL_10880515;A/European_Herring_Gull/_Sweden/SVA211221SZ0503/FB004873/M-2021;A / H5N1;Europe / Sweden / Skane Lan / Trelleborgs Kommun;;;Larus argentatus;2021-12-21
>EPI_ISL_10940622|A/Common_Buzzard/Sweden/SVA220127SZ0296/FB000176/M-2022|A_/_H5N1;EPI_ISL_10940622;A/Common_Buzzard/Sweden/SVA220127SZ0296/FB000176/M-2022;A / H5N1;Europe / Sweden / Skane Lan / Klippans Kommun;;;Avian;2022-01-24
>EPI_ISL_11880371|A/Gallus_gallus/Belgium/4190_0002/2022|A_/_H5N1;EPI_ISL_11880371;A/Gallus_gallus/Belgium/4190_0002/2022;A / H5N1;Europe / Belgium / Provincie West-Vlaanderen / Meulebeke;;;Gallus gallus domesticus;2022-03-28
>EPI_ISL_11922822|A/swan/Romania/10986_22VIR2749-8/2022|A_/_H5N1;EPI_ISL_11922822;A/swan/Romania/10986_22VIR2749-8/2022;A / H5N1;Europe / Romania;;;Swan;2022-03-07
>EPI_ISL_12210335|A/Falco_peregrinus/Belgium/4055_0002/2022|A_/_H5N1;EPI_ISL_12210335;A/Falco_peregrinus/Belgium/4055_0002/2022;A / H5N1;Europe / Belgium / Provincie Antwerpen / Essen;;;Falco peregrinus;2022-03-19
>EPI_ISL_13068727|A/common_crane/Israel/670/2021|A_/_H5N1;EPI_ISL_13068727;A/common_crane/Israel/670/2021;A / H5N1;Asia / Israel / Northern District / Agamon Hula;;;Avian;2021-12-15
>EPI_ISL_13338018|A/European_herring_gull/Sweden/SVA220422SZ0382/FB001241/G-2022|A_/_H5N1;EPI_ISL_13338018;A/European_herring_gull/Sweden/SVA220422SZ0382/FB001241/G-2022;A / H5N1;Europe / Sweden / Kronobergs Lan / Vaxjo Kommun;;;Larus argentatus;2022-04-29
>EPI_ISL_13338024|A/Barnacle_goose/Sweden/SVA220428SZ0404/FB001285/H-2022|A_/_H5N1;EPI_ISL_13338024;A/Barnacle_goose/Sweden/SVA220428SZ0404/FB001285/H-2022;A / H5N1;Europe / Sweden / Kalmar Lan / Borgholms Kommun;;;Branta leucopsis;2022-04-23
>EPI_ISL_13369400|A/Herring_gull/Wales/054692/2021|A_/_H5N1;EPI_ISL_13369400;A/Herring_gull/Wales/054692/2021;A / H5N1;Europe / United Kingdom / Wales;;;Larus argentatus;2021-11-02
>EPI_ISL_13369401|A/mute_swan/England/243602/2021|A_/_H5N1;EPI_ISL_13369401;A/mute_swan/England/243602/2021;A / H5N1;Europe / United Kingdom / England;;;Cygnus olor;2021-11-03
>EPI_ISL_13369745|A/chicken/England/056017/2021|A_/_H5N1;EPI_ISL_13369745;A/chicken/England/056017/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-11-10
>EPI_ISL_13369746|A/chicken/England/057016/2021|A_/_H5N1;EPI_ISL_13369746;A/chicken/England/057016/2021;A / H5N1;Europe / United Kingdom / England;;;Gallus gallus domesticus;2021-11-12
>EPI_ISL_13369747|A/Barnacle_goose/England/108089/2021|A_/_H5N1;EPI_ISL_13369747;A/Barnacle_goose/England/108089/2021;A / H5N1;Europe / United Kingdom / England;;;Branta leucopsis;2021-11-12
>EPI_ISL_13369748|A/mute_swan/England/108094/2021|A_/_H5N1;EPI_ISL_13369748;A/mute_swan/England/108094/2021;A / H5N1;Europe / United Kingdom / England;;;Cygnus olor;2021-11-12
>EPI_ISL_13369754|A/mute_swan/England/243983/2021|A_/_H5N1;EPI_ISL_13369754;A/mute_swan/England/243983/2021;A / H5N1;Europe / United Kingdom / England;;;Cygnus olor;2021-11-13
>EPI_ISL_13369755|A/Pink-footed_goose/England/243989/2021|A_/_H5N1;EPI_ISL_13369755;A/Pink-footed_goose/England/243989/2021;A / H5N1;Europe / United Kingdom / England;;;Anser brachyrhynchus;2021-11-13
